Tx 0.0267144 1 1 1 39 
Tx 0.0429286 1 1 1 15 
Tx 0.0429286 1 1 1 15 
Rx 0.102512 1 1 3 58 512397
Rx 0.107608 1 1 3 54 495679
Rx 0.107608 1 1 3 1454 494432
Rx 0.112712 1 1 3 1454 502759
Rx 0.112712 1 1 3 1454 501564
Rx 0.117821 1 1 3 1454 511079
Rx 0.117821 1 1 3 1454 509884
Rx 0.117821 1 1 3 1454 508689
Rx 0.117821 1 1 3 1454 507494
Rx 0.122933 1 1 3 1454 523559
Rx 0.122933 1 1 3 1454 522364
Rx 0.122933 1 1 3 1454 521169
Rx 0.122933 1 1 3 1454 519974
Rx 0.122933 1 1 3 1454 518779
Rx 0.122933 1 1 3 1454 517584
Rx 0.122933 1 1 3 1454 516389
Rx 0.124008 1 1 3 1454 1590234
Rx 0.128054 1 1 3 1454 544359
Rx 0.128054 1 1 3 1454 543164
Rx 0.128054 1 1 3 1454 541969
Rx 0.128054 1 1 3 1454 540774
Rx 0.128054 1 1 3 1454 539579
Rx 0.128054 1 1 3 1454 538384
Rx 0.128054 1 1 3 1454 537189
Rx 0.128054 1 1 3 1454 535994
Rx 0.128054 1 1 3 1454 534799
Rx 0.128054 1 1 3 1454 533604
Rx 0.128054 1 1 3 1454 532409
Rx 0.128054 1 1 3 1454 531214
Rx 0.128054 1 1 3 1454 530019
Rx 0.129108 1 1 3 1454 1583064
Rx 0.131112 1 1 3 1454 502759
Rx 0.131112 1 1 3 1454 501564
Rx 0.133196 1 1 3 1454 585959
Rx 0.133196 1 1 3 1454 584764
Rx 0.133196 1 1 3 1454 583569
Rx 0.133196 1 1 3 1454 582374
Rx 0.133196 1 1 3 1454 581179
Rx 0.133196 1 1 3 1454 579984
Rx 0.133196 1 1 3 1454 578789
Rx 0.133196 1 1 3 1454 577594
Rx 0.133196 1 1 3 1454 576399
Rx 0.133196 1 1 3 1454 575204
Rx 0.133196 1 1 3 1454 574009
Rx 0.133196 1 1 3 1454 572814
Rx 0.133196 1 1 3 1454 571619
Rx 0.133196 1 1 3 1454 570424
Rx 0.133196 1 1 3 1454 569229
Rx 0.133196 1 1 3 1454 568034
Rx 0.133196 1 1 3 1454 566839
Rx 0.133196 1 1 3 1454 565644
Rx 0.133196 1 1 3 1454 564449
Rx 0.133196 1 1 3 1454 563254
Rx 0.133196 1 1 3 1454 562059
Rx 0.133196 1 1 3 1454 560864
Rx 0.133196 1 1 3 1454 559669
Rx 0.133196 1 1 3 1454 558474
Rx 0.133196 1 1 3 1454 557279
Rx 0.134208 1 1 3 1454 1568724
Rx 0.136225 1 1 3 1454 515239
Rx 0.136225 1 1 3 1454 514044
Rx 0.136225 1 1 3 1454 512849
Rx 0.136225 1 1 3 1454 511654
Rx 0.136225 1 1 3 1454 510459
